id	survived	pclass	sex	age	sibsp	parch	fare	embarked
57	0	3	male	28.5	0	0	7.2292	C
571	1	1	female	53.0	2	0	51.4792	S
737	1	1	male	35.0	0	0	512.3292	C
721	0	3	male	17.0	1	0	7.0542	S
551	0	2	male	27.0	0	0	26.0	S
291	1	1	female	19.0	1	0	91.0792	C
739	0	3	male		0	0	7.8958	S
143	0	3	male	19.0	0	0	6.75	Q
292	0	2	male	36.0	0	0	12.875	C
348	1	3	male	3.0	1	1	15.9	S
237	1	2	female	8.0	0	2	26.25	S
137	0	1	male	37.0	1	0	53.1	S
199	0	2	female	24.0	0	0	13.0	S
759	1	1	female	33.0	0	0	86.5	S
662	0	1	male	47.0	0	0	25.5875	S
276	0	3	female	45.0	0	0	7.75	S
636	0	3	male	32.0	0	0	7.925	S
640	0	3	male	20.0	0	0	7.8542	S
705	0	2	male	39.0	0	0	26.0	S
184	1	3	female	4.0	0	2	22.025	S
470	0	3	male		0	0	7.25	S
707	1	1	male	42.0	0	0	26.2875	S
719	0	3	male	33.0	0	0	7.775	S
605	0	3	male	36.0	1	0	15.55	S
224	1	1	male	38.0	1	0	90.0	S
745	0	1	male	70.0	1	1	71.0	S
867	0	1	male	31.0	0	0	50.4958	S
203	0	3	male	45.5	0	0	7.225	C
455	1	3	male	29.0	0	0	7.8958	C
314	0	2	male	43.0	1	1	26.25	S
607	1	1	male	27.0	0	0	30.5	S
209	1	1	male	40.0	0	0	31.0	C
426	1	2	female	28.0	1	0	26.0	S
756	0	3	male	28.0	0	0	7.7958	S
73	0	3	male	26.0	1	0	14.4542	C
814	0	3	male	30.5	0	0	8.05	S
119	0	3	female	2.0	4	2	31.275	S
473	1	2	female	23.0	0	0	13.7917	C
449	1	1	male	52.0	0	0	30.5	S
83	0	1	male	28.0	0	0	47.1	S
556	1	1	female	48.0	1	0	39.6	C
84	1	2	female	17.0	0	0	10.5	S
433	0	3	male	17.0	0	0	7.125	S
459	0	3	male		0	0	7.75	Q
861	0	2	male	21.0	1	0	11.5	S
733	0	2	male	23.0	0	0	13.0	S
684	0	2	male	60.0	1	1	39.0	S
410	0	3	male		0	0	7.8958	S
660	1	1	male	50.0	2	0	133.65	S
478	0	3	male	22.0	0	0	7.5208	S
869	1	3	male	4.0	1	1	11.1333	S
226	1	2	male	19.0	0	0	10.5	S
842	1	1	female	30.0	0	0	31.0	C
448	1	3	female	5.0	2	1	19.2583	C
329	1	1	female	16.0	0	1	57.9792	C
541	0	3	female	9.0	4	2	31.275	S
325	1	1	female	36.0	0	0	135.6333	C
622	1	3	male	20.0	1	1	15.7417	C
610	0	3	female	39.0	1	5	31.275	S
405	0	2	male	34.0	1	0	21.0	S
461	0	3	male	34.0	0	0	8.05	S
699	0	3	male	42.0	0	0	7.65	S
381	1	3	female	1.0	0	2	15.7417	C
565	0	3	male	24.0	2	0	24.15	S
93	0	3	male	26.0	1	2	20.575	S
826	0	3	male		0	0	56.4958	S
540	1	1	female	36.0	0	2	71.0	S
835	1	1	female	39.0	1	1	83.1583	C
732	0	2	male		0	0	0.0	S
44	1	3	female	19.0	0	0	7.8792	Q
639	0	3	male		1	0	16.1	S
353	0	3	male	25.0	1	0	17.8	S
115	0	3	male	21.0	0	0	7.925	S
468	0	3	male		0	0	7.725	Q
297	0	1	female	2.0	1	2	151.55	S
349	0	3	male	42.0	0	0	8.6625	S
305	1	1	male	0.92	1	2	151.55	S
284	0	1	male		0	0	26.0	S
490	0	3	male		1	0	19.9667	S
281	0	3	male	28.0	0	0	7.8542	S
16	0	3	male	2.0	4	1	29.125	Q
773	0	3	male		0	0	7.225	C
767	0	3	female	30.5	0	0	7.75	Q
56	1	2	female	21.0	0	0	10.5	S
396	0	3	female	31.0	0	0	7.8542	S
714	0	2	male	52.0	0	0	13.0	S
871	1	1	female	47.0	1	1	52.5542	S
776	0	3	male		0	0	7.75	Q
874	1	2	female	28.0	1	0	24.0	C
340	1	2	male	2.0	1	1	26.0	S
828	1	3	male		0	0	7.75	Q
269	1	1	female	35.0	0	0	135.6333	S
195	1	1	female	58.0	0	0	146.5208	C
70	0	2	male	32.0	0	0	10.5	S
472	1	2	female	33.0	1	2	27.75	S
743	0	3	male	24.0	1	0	16.1	S
164	0	3	male	1.0	4	1	39.6875	S
789	0	1	male	46.0	0	0	79.2	C
24	0	3	female	8.0	3	1	21.075	S
330	1	3	female		2	0	23.25	Q
407	1	2	male	3.0	1	1	18.75	S
554	1	3	female	22.0	0	0	7.775	S
690	1	1	male	31.0	1	0	57.0	S
191	0	2	male	19.0	0	0	13.0	S
692	1	3	male		0	0	56.4958	S
377	0	1	male	27.0	0	2	211.5	C
153	0	3	male	40.5	0	2	14.5	S
376	1	3	female	22.0	0	0	7.25	S
555	0	1	male	62.0	0	0	26.55	S
621	1	1	male	42.0	1	0	52.5542	S
711	0	1	male		0	0	26.55	S
41	0	2	female	27.0	1	0	21.0	S
790	0	3	male		0	0	7.75	Q
225	0	3	male	22.0	0	0	9.35	S
829	1	1	female	62.0	0	0	80.0	
139	0	1	male	24.0	0	0	79.2	C
795	0	2	male	39.0	0	0	13.0	S
791	0	2	male	16.0	0	0	26.0	S
736	0	3	female	48.0	1	3	34.375	S
212	0	3	male	22.0	0	0	7.25	S
517	0	3	male		0	0	24.15	Q
629	0	3	male		0	0	7.7333	Q
798	0	3	male	30.0	0	0	7.2292	C
387	1	2	female	36.0	0	0	13.0	S
404	0	3	female	20.0	0	0	8.6625	S
469	1	3	female	0.75	2	1	19.2583	C
147	0	3	female	9.0	2	2	34.375	S
265	0	2	male	36.0	0	0	10.5	S
608	1	2	female	22.0	1	2	41.5792	C
13	0	3	male	39.0	1	5	31.275	S
802	1	1	male	11.0	1	2	120.0	S
131	0	3	male	20.0	0	0	7.05	S
809	1	1	female	33.0	1	0	53.1	S
539	1	1	female	22.0	0	2	49.5	C
677	1	3	female	18.0	0	0	9.8417	S
645	1	1	male	48.0	1	0	76.7292	C
274	1	3	female		0	0	7.75	Q
812	0	2	male	35.0	0	0	10.5	S
734	0	2	male	23.0	0	0	13.0	S
548	0	3	male	33.0	1	1	20.525	S
419	0	3	female	10.0	0	2	24.15	S
219	0	2	male	30.0	0	0	10.5	S
758	0	3	male	34.0	0	0	8.05	S
114	0	3	female	17.0	0	0	14.4583	C
373	0	1	male	22.0	0	0	135.6333	C
696	0	3	male	44.0	0	0	8.05	S
288	1	2	male	42.0	0	0	13.0	S
514	0	3	male	24.0	0	0	7.4958	S
228	0	2	male	18.0	0	0	13.0	S
169	0	3	male	28.0	0	0	56.4958	S
128	1	3	female		1	1	22.3583	C
388	0	3	male		0	0	7.7292	Q
341	1	1	female	24.0	3	2	263.0	S
192	1	3	female	19.0	1	0	7.8542	S
125	1	3	male	12.0	1	0	11.2417	C
709	1	3	male		1	1	15.2458	C
110	0	1	male	47.0	0	0	52.0	S
72	0	2	male	21.0	0	0	73.5	S
872	0	1	male	33.0	0	0	5.0	S
437	1	2	female	24.0	2	3	18.75	S
689	1	1	female	15.0	0	1	211.3375	S
679	1	1	male	36.0	0	1	512.3292	C
450	0	2	male	36.0	1	2	27.75	S
135	0	2	male	23.0	0	0	15.0458	C
486	1	1	female	35.0	1	0	90.0	S
663	0	3	male	36.0	0	0	7.4958	S
847	0	3	male	35.0	0	0	7.8958	C
82	1	3	female		0	0	7.7875	Q
307	1	1	female	17.0	1	0	108.9	C
579	1	3	male	32.0	0	0	7.925	S
598	0	3	male		0	0	7.225	C
383	1	1	female	35.0	1	0	52.0	S
86	0	3	male	16.0	1	3	34.375	S
180	0	3	female		8	2	69.55	S
594	0	2	male	37.0	1	0	26.0	S
347	1	3	female		1	0	16.1	S
438	0	1	male	64.0	1	4	263.0	S
87	0	3	male		0	0	8.05	S
845	0	3	male	42.0	0	0	7.55	S
43	1	2	female	3.0	1	2	41.5792	C
821	1	3	male	27.0	0	0	8.6625	S
730	1	1	female	29.0	0	0	211.3375	S
499	0	3	male	24.0	0	0	7.7958	S
584	0	3	male		0	0	8.7125	C
624	0	3	male	21.0	0	0	16.1	S
28	1	3	female		0	0	7.8792	Q
121	0	3	male		0	0	8.05	S
201	0	3	male		8	2	69.55	S
687	0	3	male	19.0	0	0	10.1708	S
300	1	3	female		0	0	7.75	Q
400	1	3	male	39.0	0	0	7.925	S
559	1	3	female	36.0	1	0	17.4	S
544	0	1	male	50.0	1	0	106.425	C
63	0	3	male	4.0	3	2	27.9	S
775	0	3	male	18.0	0	0	7.75	S
343	0	2	male	25.0	0	0	13.0	S
667	0	3	male		0	0	7.775	S
328	1	3	female	31.0	1	1	20.525	S
611	0	3	male		0	0	7.05	S
111	0	3	female	14.5	1	0	14.4542	C
884	0	3	male	25.0	0	0	7.05	S
273	0	1	male	37.0	0	1	29.7	C
129	0	3	male	45.0	0	0	6.975	S
569	1	3	male	32.0	0	0	7.8542	S
576	1	2	female	34.0	0	0	13.0	S
855	1	3	female	18.0	0	1	9.35	S
151	1	1	female	22.0	1	0	66.6	S
23	1	1	male	28.0	0	0	35.5	S
435	1	1	female	14.0	1	2	120.0	S
804	1	3	male	27.0	0	0	6.975	S
246	0	3	female	25.0	0	0	7.775	S
574	0	3	male	16.0	0	0	8.05	S
600	1	2	female	24.0	2	1	27.0	S
444	1	3	male		0	0	8.1125	S
7	0	3	male	2.0	3	1	21.075	S
357	0	2	female	38.0	0	0	13.0	S
339	0	1	male	45.0	0	0	35.5	S
182	0	3	male	9.0	4	2	31.3875	S
601	0	3	male		0	0	7.8958	S
637	0	2	male	31.0	1	1	26.25	S
99	0	2	male	34.0	1	0	26.0	S
747	1	2	female	30.0	0	0	13.0	S
163	0	3	male	17.0	0	0	8.6625	S
509	1	3	male	26.0	0	0	56.4958	S
277	0	2	male		0	0	0.0	S
794	0	3	male	25.0	0	0	7.8958	S
33	0	2	male	66.0	0	0	10.5	S
824	0	3	male	2.0	4	1	39.6875	S
508	0	3	male	28.0	0	0	22.525	S
360	0	3	male	40.0	1	4	27.9	S
287	0	3	male	22.0	0	0	7.8958	S
322	1	2	female	30.0	0	0	12.35	Q
659	0	1	male	58.0	0	2	113.275	C
138	0	3	male	16.0	0	0	9.2167	S
59	0	3	male	11.0	5	2	46.9	S
805	0	3	male	31.0	0	0	7.775	S
423	0	3	female	28.0	1	1	14.4	S
593	0	3	female		0	2	7.75	Q
547	1	2	male		0	0	13.8625	C
295	0	1	male		0	0	27.7208	C
4	0	3	male	35.0	0	0	8.05	S
234	0	2	male	24.0	0	0	10.5	S
534	0	3	female	30.0	0	0	8.6625	S
254	0	3	female	41.0	0	2	20.2125	S
414	1	3	male	44.0	0	0	7.925	S
577	1	1	female	39.0	1	0	55.9	S
717	1	2	female	27.0	0	0	10.5	S
257	1	1	female	30.0	0	0	86.5	S
543	1	2	male	32.0	1	0	26.0	S
217	0	2	male	42.0	1	0	27.0	S
691	1	3	female	4.0	0	1	13.4167	C
385	0	2	male	18.0	0	0	73.5	S
130	0	3	male	33.0	0	0	7.8958	C
777	1	3	female	5.0	0	0	12.475	S
323	1	2	female	22.0	1	1	29.0	S
682	0	3	male	20.0	0	0	9.225	S
497	0	3	male		0	0	15.1	S
633	0	1	male		0	0	0.0	S
702	0	3	female	18.0	0	1	14.4542	C
213	0	2	male	30.0	0	0	13.0	S
168	0	1	male		0	0	25.925	S
11	1	1	female	58.0	0	0	26.55	S
590	0	3	male	35.0	0	0	7.125	S
25	1	3	female	38.0	1	5	31.3875	S
80	0	3	male	22.0	0	0	9.0	S
369	1	1	female	24.0	0	0	69.3	C
512	1	1	male	36.0	0	0	26.2875	S
106	1	3	female	21.0	0	0	7.65	S
502	0	3	female		0	0	7.6292	Q
830	1	3	female	15.0	1	0	14.4542	C
286	1	3	male	30.0	0	0	9.5	S
879	1	1	female	56.0	0	1	83.1583	C
741	0	1	male	36.0	1	0	78.85	S
834	0	3	male	18.0	0	0	8.3	S
368	1	3	female		0	0	7.75	Q
176	0	3	male		3	1	25.4667	S
42	0	3	male		0	0	7.8958	C
868	0	3	male		0	0	9.5	S
888	0	3	female		1	2	23.45	S
177	0	1	female	50.0	0	0	28.7125	C
665	0	2	male	32.0	2	0	73.5	S
856	1	1	female	45.0	1	1	164.8667	S
668	0	3	male	43.0	0	0	8.05	S
91	0	3	male	20.0	0	0	7.8542	S
36	1	3	male		0	0	7.2292	C
98	1	2	female	34.0	0	1	23.0	S
174	0	1	male	56.0	0	0	30.6958	C
183	1	2	male	1.0	2	1	39.0	S
528	0	3	male	39.0	0	0	7.925	S
335	0	3	male		0	0	7.8958	S
232	0	2	male	59.0	0	0	13.5	S
415	0	3	female		0	0	8.05	S
197	0	3	male	42.0	0	1	8.4042	S
244	0	3	male	30.0	0	0	7.225	C
562	0	2	male	28.0	0	0	13.5	S
697	1	3	female		0	0	7.7333	Q
166	1	1	female		0	1	55.0	S
801	1	2	female	31.0	1	1	26.25	S
641	1	1	female	24.0	0	0	69.3	C
510	1	3	male	29.0	0	0	7.75	Q
32	1	3	female		0	0	7.75	Q
221	0	2	male	27.0	0	0	13.0	S
749	0	3	male	31.0	0	0	7.75	Q
793	0	1	male		0	0	30.6958	C
575	0	3	male	19.0	0	0	14.5	S
546	1	2	female	19.0	1	0	26.0	S
9	1	2	female	14.0	1	0	30.0708	C
846	0	3	male		8	2	69.55	S
675	0	3	male	18.0	0	0	7.775	S
865	1	2	female	42.0	0	0	13.0	S
275	1	1	female	63.0	1	0	77.9583	S
290	1	1	female	26.0	0	0	78.85	S
480	0	3	male	9.0	5	2	46.9	S
411	0	3	male		0	0	6.8583	Q
599	1	1	male	49.0	1	0	56.9292	C
602	0	1	male		0	0	42.4	S
152	0	3	male	55.5	0	0	8.05	S
536	0	1	male	45.0	0	0	26.55	S
507	1	1	male		0	0	26.55	S
112	0	3	male	22.0	0	0	8.05	S
515	0	1	male	47.0	0	0	34.0208	S
772	0	2	female	57.0	0	0	10.5	S
685	0	2	male	25.0	1	2	41.5792	C
664	1	3	male	20.0	1	0	7.925	S
746	0	3	male	16.0	1	1	20.25	S
256	1	1	female		0	0	79.2	C
755	1	2	male	0.67	1	1	14.5	S
586	0	2	male	47.0	0	0	15.0	S
765	1	1	female	51.0	1	0	77.9583	S
498	0	1	female	25.0	1	2	151.55	S
332	0	1	male	38.0	0	1	153.4625	S
359	1	3	female		0	0	7.8792	Q
69	0	3	male	26.0	2	0	8.6625	S
326	0	3	male	61.0	0	0	6.2375	S
488	0	3	male	30.0	0	0	8.05	S
581	1	1	female	39.0	1	1	110.8833	C
371	0	3	male	18.0	1	0	6.4958	S
296	0	3	male	23.5	0	0	7.2292	C
324	0	3	male		8	2	69.55	S
751	1	3	male	6.0	0	1	12.475	S
429	1	3	male	32.0	0	0	8.05	S
117	0	2	male	29.0	1	0	21.0	S
604	1	1	male	35.0	0	0	26.55	C
442	0	3	male	25.0	1	0	7.775	S
617	0	3	female	26.0	1	0	16.1	S
